replicate_num,horm_conc,Cell Cycle Stage,Moth_ID,Position_n,frame_i,original_filename,timestamp,time_min,cell_area_pxl,cell_area_um2,ratio_areas_bud_moth,cell_vol_vox,cell_vol_fl,ratio_volumes_bud_moth,predicted_cell_cycle_stage,generation_num,num_spots,ref_ch_vol_vox,ref_ch_vol_um3,ref_ch_vol_len_um,ref_ch_num_fragments,relationship,relative_ID,OF,spots_ch_norm_val,ref_ch_norm_val,spotsize_tot_fluoresc,spots_INref_tot_fluoresc,creation_datetime
2020-07-28_ASY39-1_1,SCD_0nM,S,1,Position_43,0,ASY39-1_0nM-44,2020/07/28 10:53:08.509,0.0,5531.0,25.014293187500005,0.0332523818419577,274734.91763527447,83.55851746682251,0.0045868957779309,S,-1,1,13745,21.756917546875,0,3,mother,3,0,0.1074610041449182,0.2304780769231711,,1086.3882352941175,2021/11/18 10:22:14.459
2020-07-28_ASY39-1_1,SCD_0nM,S,1,Position_44,0,ASY39-1_0nM-45,2020/07/28 10:54:07.465,0.0,7247.0,32.7750104375,0.2426268861454046,356530.7456126771,108.43609101878178,0.1142489575563131,S,-1,6,19797,31.336609434375003,0,2,mother,2,0,0.0899011240020734,0.205537508273095,,1202.2117647058824,2021/11/18 10:22:19.772
2020-07-28_ASY39-1_1,SCD_0nM,S,1,Position_7,0,ASY39-1_0nM-08,2020/07/28 09:25:44.803,0.0,11858.0,53.62854612500001,0.2928477976450065,718432.4009798234,218.50570303443703,0.1441640224827322,S,-1,5,29059,45.997400290625,0,7,mother,2,0,0.1073040014597508,0.1744217795828209,93.09159868326893,2305.972549019608,2021/11/18 10:19:19.479
2020-07-28_ASY39-1_1,SCD_0nM,S,1,Position_8,0,ASY39-1_0nM-09,2020/07/28 09:26:54.833,0.0,7510.0,33.964444375,0.6933483652762119,310873.8776658747,94.5499049065456,0.6377358282462734,S,-1,5,15728,24.89580205,0,4,mother,2,0,0.1033373709189018,0.2526324632439568,46.279397452411615,1126.0549019607845,2021/11/18 10:19:23.891
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_1,0,ASY39-1_0nM-02,2020/07/28 09:15:52.678,0.0,7229.0,32.69360431250001,0.1193868070610096,378898.164863647,115.2389699839197,0.0416668921955537,S,-1,5,22052,34.906041887499995,0,4,mother,1,0,0.1135589847209442,0.2282344153495539,,1753.0352941176477,2021/11/18 10:18:44.677
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_11,0,ASY39-1_0nM-12,2020/07/28 09:30:25.860,0.0,9573.0,43.2944908125,0.6230925737538149,472017.8739391255,143.56061509645843,0.4920056675169992,S,-1,4,21242,33.62389541875,0,6,mother,1,0,0.0729243127946238,0.1866292515603974,,1125.6666666666667,2021/11/18 10:19:39.885
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_15,0,ASY39-1_0nM-16,2020/07/28 09:38:42.897,0.0,10858.0,49.105983625,0.6196300715990454,574697.201160447,174.7897447278598,0.4650475953365244,S,-1,3,26627,42.147795090625,0,6,mother,3,0,0.0767108709393852,0.151982821609441,,1383.2980392156862,2021/11/18 10:20:00.447
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_16,0,ASY39-1_0nM-17,2020/07/28 09:39:43.161,0.0,8077.0,36.528737312500006,0.7751648351648351,358916.824305905,109.16179854762956,0.6446053171449023,S,-1,2,15765,24.954369234375,0,4,mother,1,0,0.1133792479901276,0.2279900818360744,,1747.5607843137254,2021/11/18 10:20:05.504
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_18,0,ASY39-1_0nM-19,2020/07/28 09:42:06.304,0.0,8104.0,36.6508465,0.6448142886137609,346399.87857704714,105.35486553264047,0.5192591084145167,S,-1,3,18671,29.554267553125,0,3,mother,1,0,0.0922796724386697,0.1470373764347401,63.74901960784314,1168.3215686274511,2021/11/18 10:20:17.142
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_2,0,ASY39-1_0nM-03,2020/07/28 09:17:20.701,0.0,9588.0,43.36232925,0.709395614191478,455035.5600725799,138.39557462013778,0.594022101005279,S,-1,9,26164,41.4149138375,0,3,mother,1,0,0.0571792473205862,0.1459225093753276,83.59920873458871,1002.8509803921568,2021/11/18 10:18:51.486
