replicate,Position_n,Moth_ID,Unnamed: 0,Cell Cycle Stage,frame_i,original_filename,timestamp,time_min,cell_area_pxl,cell_area_um2,ratio_areas_bud_moth,cell_vol_vox,cell_vol_fl,ratio_volumes_bud_moth,predicted_cell_cycle_stage,generation_num,num_spots,ref_ch_vol_vox,ref_ch_vol_um3,ref_ch_vol_len_um,ref_ch_num_fragments,relationship,relative_ID,OF,num_spots_inside_ref_ch,spots_ch_norm_val,ref_ch_norm_val,spotsize_tot_fluoresc,spots_INref_tot_fluoresc,creation_datetime,ratio_num_spots_bud_moth,strain,genotype,mtnet_skeleton_length_voxels
2022-12-14,Position_12,6,136,S,0,YFT006-12,2022/12/21 14:11:43.924,0.0,7052.0,31.893110750000005,0.0599729445362994,345933.91291227686,105.21314565053092,0.0146674112342136,S,2.0,13,18152,28.732744075,0,2,mother,7.0,0,28,0.0947547708587691,0.1030170803029695,,1171.0235294117645,2022/12/21 14:11:56.839,0.0,YFT006,WT,243
2022-12-14,Position_13,3,75,S,0,YFT006-13,2022/12/21 14:11:57.856,0.0,13202.0,59.70687012500001,0.5152071617123838,750994.4151588005,228.40918983527047,0.380160073717376,S,2.0,21,19946,31.57246106875,0,3,mother,1.0,0,36,0.1069628257192617,0.1081735411195235,239.21825851751407,1584.6235294117646,2022/12/21 14:12:07.774,0.75,YFT006,WT,376
2022-12-14,Position_13,4,102,S,0,YFT006-13,2022/12/21 14:11:57.856,0.0,12557.0,56.789817312500006,0.7765987549518959,669849.0652952085,203.7294542112399,0.6906757457222596,S,2.0,9,24973,39.529683659375,0,3,mother,2.0,0,30,0.115481637647644,0.1228683886051311,164.57255856113733,2281.070588235295,2022/12/21 14:12:07.774,0.5,YFT006,WT,270
2022-12-14,Position_14,2,53,S,0,YFT006-14,2022/12/21 14:12:08.779,0.0,10679.0,48.296444937500006,0.8054099746407438,535125.1391889523,162.75420567114267,0.7809375307156537,S,2.0,9,18311,28.984424678125,0,3,mother,3.0,0,35,0.1001156333104801,0.1076156613251739,99.32156147130384,968.356862745098,2022/12/21 14:12:18.197,1.25,YFT006,WT,339
2022-12-14,Position_14,4,103,S,0,YFT006-14,2022/12/21 14:12:08.779,0.0,15701.0,71.0087538125,0.6988747024453581,938238.5377885612,285.3580532196089,0.6265636548399377,S,2.0,4,29053,45.987902909375,0,6,mother,5.0,0,49,0.1020327939940252,0.1175892345160164,51.37254901960784,1818.372549019608,2022/12/21 14:12:18.197,0.3333333333333333,YFT006,WT,325
2022-12-14,Position_15,5,122,S,0,YFT006-15,2022/12/21 14:12:19.365,0.0,7646.0,34.579512875000006,0.0353419092755585,420573.68894992064,127.91426090534848,0.0051226645865508,S,2.0,5,11910,18.85230178125,0,1,mother,7.0,0,14,0.1349312739970519,0.1384299680479608,,1260.0470588235296,2022/12/21 14:12:22.736,0.0,YFT006,WT,150
2022-12-14,Position_16,1,38,S,0,YFT006-16,2022/12/21 14:12:23.774,0.0,9778.0,44.221616125,0.3370709695063585,487950.1083237529,148.40628195443216,0.2144718857206877,S,2.0,12,20801,32.925837896875,0,3,mother,2.0,0,34,0.0861214148789076,0.0951783224408544,141.34901960784313,1126.0745098039215,2022/12/21 14:12:33.708,0.2,YFT006,WT,321
2022-12-14,Position_16,3,76,S,0,YFT006-16,2022/12/21 14:12:23.774,0.0,12048.0,54.48783300000001,0.4861231034908104,645321.0265740994,196.2694394102616,0.3729654821555567,S,2.0,18,21111,33.416535928125,0,4,mother,4.0,0,43,0.0774358913932744,0.0872385045795017,157.08392443457285,1056.2666666666669,2022/12/21 14:12:33.708,0.5,YFT006,WT,381
2022-12-14,Position_17,3,7,G1,0,YFT006-17,2022/12/21 14:12:34.885,0.0,5799.0,26.226339937500004,0.0,286413.3049483765,87.11040937297483,0.0,G1,2.0,11,9923,15.707085690625,0,1,mother,-1.0,0,17,0.1072950412789224,0.1202209828534366,106.15686274509804,795.1176470588235,2022/12/21 14:12:44.593,,YFT006,WT,175
2022-12-14,Position_17,4,104,S,0,YFT006-17,2022/12/21 14:12:34.885,0.0,16105.0,72.83586906250001,0.7992403083454362,951105.4843604616,289.2714363058467,0.7690920027799836,S,2.0,8,25859,40.932130290625,0,4,mother,2.0,0,28,0.1502438110369418,0.1520174119243191,110.98431372549022,2910.3372549019605,2022/12/21 14:12:44.593,1.6666666666666667,YFT006,WT,206
2022-12-14,Position_17,5,20,G1,0,YFT006-17,2022/12/21 14:12:34.885,0.0,8275.0,37.4242046875,0.0,511396.5771126814,155.53734555820705,0.0,G1,2.0,11,12621,19.977741459375,0,4,mother,-1.0,0,21,0.1165972300397262,0.1248710789852891,163.68627450980392,1119.5098039215686,2022/12/21 14:12:44.593,,YFT006,WT,147
2022-12-14,Position_18,3,77,S,0,YFT006-18,2022/12/21 14:12:45.671,0.0,14521.0,65.6721300625,0.6503011705875668,864921.7650631279,263.0593192722841,0.5597846937882632,S,2.0,7,26637,42.163624059375,0,6,mother,6.0,0,40,0.099606434254103,0.1149830733953084,86.73333333333332,1663.0549019607845,2022/12/21 14:12:53.693,0.4,YFT006,WT,358
2022-12-14,Position_18,5,123,S,0,YFT006-18,2022/12/21 14:12:45.671,0.0,10654.0,48.183380875000005,0.4027649769585253,506756.6456824509,154.12614601067636,0.3072044827447553,S,2.0,14,18198,28.80555733125,0,3,mother,4.0,0,33,0.1204292545438994,0.1051700630285266,167.48627450980396,1556.156862745098,2022/12/21 14:12:53.693,0.4,YFT006,WT,374
2022-12-14,Position_19,1,39,S,0,YFT006-19,2022/12/21 14:12:54.592,0.0,8360.0,37.8086225,0.0404480398257622,449916.69512823503,136.8387111186073,0.0073637273297952,S,2.0,9,18428,29.1696236125,0,6,mother,6.0,0,25,0.09090502060036,0.0959030294556013,,1115.192156862745,2022/12/21 14:13:02.593,0.0,YFT006,WT,308
2022-12-14,Position_19,2,54,S,0,YFT006-19,2022/12/21 14:12:54.592,0.0,11870.0,53.68281687500001,0.7217870612126487,624121.902587747,189.82188848684183,0.6546579926687379,S,2.0,9,24937,39.472699371875,0,6,mother,3.0,0,39,0.0867815485484671,0.1042690171847188,66.40392156862745,1261.7490196078431,2022/12/21 14:13:02.593,1.25,YFT006,WT,326
2022-12-14,Position_2,2,55,S,0,YFT006-02,2022/12/21 14:09:59.194,0.0,7663.0,34.65639643750001,0.0191514829099614,413456.0454842064,125.74948425092244,0.0018912903831611,S,2.0,8,16067,25.432404090625003,0,1,mother,8.0,0,22,0.1060254391864372,0.1163917086725664,,1123.2784313725488,2022/12/21 14:10:08.058,0.0,YFT006,WT,221
2022-12-14,Position_2,6,137,S,0,YFT006-02,2022/12/21 14:09:59.194,0.0,15481.0,70.01379006250001,0.4617127749976395,1000819.5859502794,304.3915989040166,0.3354859318106413,S,2.0,17,24093,38.136734409375,0,4,mother,5.0,0,44,0.1058235934652509,0.1097975651988239,253.34390852671345,1831.313725490196,2022/12/21 14:10:08.058,0.3076923076923077,YFT006,WT,409
2022-12-14,Position_20,2,56,S,0,YFT006-20,2022/12/21 14:13:03.468,0.0,13057.0,59.0510985625,0.6007110457275959,718417.9416273556,218.50130533331435,0.4883574511494598,S,2.0,11,23465,37.142675171875,0,3,mother,4.0,0,45,0.0951470021923967,0.1141761656271201,127.70145985401464,1521.2352941176473,2022/12/21 14:13:13.535,0.5714285714285714,YFT006,WT,407
2022-12-14,Position_20,3,78,S,0,YFT006-20,2022/12/21 14:13:03.468,0.0,11718.0,52.99538737500001,0.726027397260274,605970.4084906012,184.3012508131888,0.6627835559958902,S,2.0,14,22834,36.14386724375,0,3,mother,1.0,0,38,0.1130441008096906,0.1168349475647519,179.2450967294065,1811.219607843137,2022/12/21 14:13:13.535,0.2727272727272727,YFT006,WT,336
2022-12-14,Position_21,2,57,S,0,YFT006-21,2022/12/21 14:13:14.455,0.0,13027.0,58.915421687500015,0.7675712347354139,719881.6215683967,218.9464723582124,0.6875652853869569,S,2.0,11,23093,36.553837534375,0,2,mother,1.0,0,41,0.1023844264062409,0.1006343154048833,121.79028672296168,1809.8627450980389,2022/12/21 14:13:24.198,0.375,YFT006,WT,374
2022-12-14,Position_21,3,79,S,0,YFT006-21,2022/12/21 14:13:14.455,0.0,14165.0,64.06209781250001,0.7146834523665416,843275.3390999741,256.47572488426505,0.6457485037349693,S,2.0,10,23170,36.67572059375,0,4,mother,4.0,0,42,0.0863497100419684,0.0963487173061979,128.9803921568627,1590.9882352941177,2022/12/21 14:13:24.198,0.25,YFT006,WT,413
2022-12-14,Position_22,2,58,S,0,YFT006-22,2022/12/21 14:13:25.233,0.0,7509.0,33.9599218125,0.2000958926002876,353477.26649350184,107.50739877059472,0.09502138888082,S,2.0,12,16316,25.8265454125,0,3,mother,1.0,0,23,0.1056928707631567,0.1039774850743078,166.85242593387716,1243.3333333333333,2022/12/21 14:13:32.873,0.2,YFT006,WT,199
2022-12-14,Position_22,5,124,S,0,YFT006-22,2022/12/21 14:13:25.233,0.0,10921.0,49.39090506250001,0.5399041173152849,549236.7503854908,167.04614395405272,0.4118296243254095,S,2.0,11,21678,34.31403845625,0,3,mother,4.0,0,44,0.0730662061403134,0.0854728815687636,90.25095749248604,1152.443137254902,2022/12/21 14:13:32.873,0.1,YFT006,WT,400
2022-12-14,Position_23,1,40,S,0,YFT006-23,2022/12/21 14:13:33.765,0.0,6908.0,31.24186175,0.0517661388550548,348699.6304860712,106.05431743236096,0.0104481016617982,S,2.0,2,10937,17.312143121875,0,1,mother,4.0,0,17,0.1143177998675304,0.1367050266052608,,889.7764705882352,2022/12/21 14:13:40.045,0.0,YFT006,WT,145
2022-12-14,Position_23,3,80,S,0,YFT006-23,2022/12/21 14:13:33.765,0.0,13344.0,60.349074,0.6675831042239441,739679.3000635329,224.9677843871934,0.6096197593693448,S,2.0,14,20721,32.799206146875,0,4,mother,2.0,0,33,0.1266308881398253,0.1291590569742695,216.14509803921567,2075.3058823529414,2022/12/21 14:13:40.045,0.75,YFT006,WT,323
2022-12-14,Position_24,1,41,S,0,YFT006-24,2022/12/21 14:13:40.955,0.0,7631.0,34.511674437500005,0.0725228390723822,376007.7148451575,114.35986178596734,0.0177466517056236,S,2.0,10,16577,26.239681496875,0,4,mother,6.0,0,26,0.0992551440149432,0.1113906499462575,,1088.5960784313725,2022/12/21 14:13:48.215,0.0,YFT006,WT,261
2022-12-14,Position_24,3,81,S,0,YFT006-24,2022/12/21 14:13:40.955,0.0,9691.0,43.82815318750001,0.4707846410684474,462556.1885460747,140.68291607302965,0.3613774776603458,S,2.0,12,20231,32.023586678125,0,2,mother,4.0,0,34,0.0901110965852242,0.1115954098411569,122.26666666666664,1256.286274509804,2022/12/21 14:13:48.215,0.5,YFT006,WT,209
2022-12-14,Position_25,1,42,S,0,YFT006-25,2022/12/21 14:13:49.146,0.0,11424.0,51.66575400000001,0.8509397278029812,596470.7412597155,181.41199990517447,0.9129893530079016,S,2.0,17,17951,28.414581803125,0,3,mother,2.0,0,35,0.0831309782474897,0.0998493535636985,139.9780234721626,1185.0901960784313,2022/12/21 14:13:59.103,0.4166666666666667,YFT006,WT,357
2022-12-14,Position_25,4,105,S,0,YFT006-25,2022/12/21 14:13:49.146,0.0,12872.0,58.21442450000001,0.923203346780218,672375.4353662748,204.4978302863593,0.9033375385707154,S,2.0,12,28448,45.0302503,0,2,mother,3.0,0,40,0.0977795205946518,0.1116037990655963,161.72695005009305,1965.0666666666664,2022/12/21 14:13:59.103,0.2,YFT006,WT,504
2022-12-14,Position_26,1,43,S,0,YFT006-26,2022/12/21 14:14:00.029,0.0,12081.0,54.63707756250001,0.5877250624260744,663774.8930061295,201.88204130980708,0.4971372814190808,S,2.0,16,20293,32.121726284375,0,3,mother,4.0,0,35,0.095660038366757,0.113095512781873,148.59172013828154,1436.8392156862742,2022/12/21 14:14:08.272,0.3333333333333333,YFT006,WT,286
2022-12-14,Position_26,2,59,S,0,YFT006-26,2022/12/21 14:14:00.029,0.0,9478.0,42.864847375,0.4554668304668304,455297.6123497412,138.47527580980406,0.3374040909824025,S,2.0,3,16386,25.93734819375,0,2,mother,6.0,0,28,0.0940016397493861,0.116794096579447,,992.149019607843,2022/12/21 14:14:08.272,0.0,YFT006,WT,258
2022-12-14,Position_27,2,60,S,0,YFT006-27,2022/12/21 14:14:09.174,0.0,12006.0,54.29788537500001,0.6798656779068141,642054.6578814106,195.2759984315526,0.5839546237258063,S,2.0,17,24369,38.573613946875,0,2,mother,3.0,0,40,0.1116838999984236,0.1061092050796084,254.57254901960783,1904.0509803921568,2022/12/21 14:14:18.386,1.4285714285714286,YFT006,WT,372
2022-12-14,Position_27,4,106,S,0,YFT006-27,2022/12/21 14:14:09.174,0.0,12413.0,56.1385683125,0.8632542779945962,650528.8185472835,197.85334938537653,0.847995390749907,S,2.0,20,22796,36.0837171625,0,3,mother,1.0,0,41,0.0804369153786529,0.0980575862000609,194.5483890998543,1230.3725490196075,2022/12/21 14:14:18.386,1.5,YFT006,WT,383
2022-12-14,Position_28,2,61,S,0,YFT006-28,2022/12/21 14:14:19.294,0.0,12446.0,56.287812875,0.7110255705251581,675628.1212069449,205.4871097306,0.631083888714688,S,2.0,20,29447,46.611564278125,0,3,mother,1.0,0,54,0.0827158758465597,0.0938539253141572,176.70980392156858,1482.007843137255,2022/12/21 14:14:35.835,0.4285714285714285,YFT006,WT,539
2022-12-14,Position_28,5,125,S,0,YFT006-28,2022/12/21 14:14:19.294,0.0,11082.0,50.119037625,0.7364462550924475,569755.8703861819,173.28687688213915,0.6563840184421753,S,2.0,14,22306,35.30809769375,0,2,mother,4.0,0,42,0.0994239025413307,0.0966128969093222,158.05098039215687,1644.792156862745,2022/12/21 14:14:35.835,0.2727272727272727,YFT006,WT,355
2022-12-14,Position_28,6,138,S,0,YFT006-28,2022/12/21 14:14:19.294,0.0,16456.0,74.42328850000001,0.4060150375939849,1070936.0821946217,325.71699331173863,0.2873462362553425,S,2.0,11,23459,37.133177790625,0,9,mother,7.0,0,46,0.0909229231385302,0.0991398594502176,136.07887597773285,1738.1333333333337,2022/12/21 14:14:35.835,0.8333333333333334,YFT006,WT,288
2022-12-14,Position_29,2,62,S,0,YFT006-29,2022/12/21 14:14:38.183,0.0,8424.0,38.09806650000001,0.2607003891050584,399186.59251989634,121.40953960528698,0.1505000537396925,S,2.0,17,12605,19.952415109375,0,6,mother,3.0,0,30,0.1003041974941785,0.1074847650812902,128.50747847337567,825.462745098039,2022/12/21 14:14:46.348,0.1333333333333333,YFT006,WT,255
2022-12-14,Position_29,4,13,G1,0,YFT006-29,2022/12/21 14:14:38.183,0.0,6730.0,30.436845625000004,0.0,352207.0546483925,107.12107358281122,0.0,G1,2.0,4,13034,20.63147786875,0,3,mother,-1.0,0,18,0.1353711538739596,0.1312205461572225,94.45098039215684,1336.0509803921568,2022/12/21 14:14:46.348,,YFT006,WT,128
2022-12-14,Position_3,1,44,S,0,YFT006-03,2022/12/21 14:10:09.078,0.0,7147.0,32.3227541875,0.0456474030724213,366025.02012740425,111.32370177354876,0.0086025221825107,S,2.0,4,13300,21.0525284375,0,3,mother,5.0,0,19,0.0992824905839887,0.1127235833394992,,824.494117647059,2022/12/21 14:10:15.694,0.0,YFT006,WT,167
2022-12-14,Position_3,3,82,S,0,YFT006-03,2022/12/21 14:10:09.078,0.0,15097.0,68.2771260625,0.2601836393989983,979865.8054834234,298.0186673298069,0.139898134524019,S,2.0,7,21282,33.68721129375,0,4,mother,2.0,0,34,0.0985295940890643,0.1190130633635401,,1499.6235294117648,2022/12/21 14:10:15.694,0.0,YFT006,WT,364
2022-12-14,Position_30,1,45,S,0,YFT006-30,2022/12/21 14:14:49.017,0.0,8786.0,39.735234125000005,0.4221430883781158,424696.1544525057,129.1680771609197,0.2921136362250378,S,2.0,5,15772,24.9654495125,0,3,mother,7.0,0,26,0.1208251824613449,0.1325169327292014,43.53725490196078,1291.9098039215685,2022/12/21 14:14:57.509,1.5,YFT006,WT,209
2022-12-14,Position_30,3,83,S,0,YFT006-30,2022/12/21 14:14:49.017,0.0,11167.0,50.5034554375,0.3638251099169516,616980.0802214618,187.6497580053047,0.2362945666689227,S,2.0,3,19615,31.048522203125003,0,3,mother,4.0,0,30,0.1070882595044367,0.1280805386630481,,1454.286274509804,2022/12/21 14:14:57.509,0.0,YFT006,WT,200
2022-12-14,Position_31,4,107,S,0,YFT006-31,2022/12/21 14:14:59.517,0.0,7958.0,35.99055237500001,0.2467491775027416,386773.14821093145,117.6340857531084,0.13046471413851,S,2.0,8,20336,32.18979085,0,2,mother,3.0,0,31,0.098387121728847,0.1165722497652837,,1224.650980392157,2022/12/21 14:15:09.746,0.0,YFT006,WT,214
