replicate,Position_n,Moth_ID,Unnamed: 1,cell_cycle_stage,frame_i,original_filename,timestamp,time_min,cell_area_pxl,cell_area_um2,ratio_areas_bud_moth,cell_vol_vox,cell_vol_fl,ratio_volumes_bud_moth,predicted_cell_cycle_stage,generation_num,num_spots,ref_ch_vol_vox,ref_ch_vol_um3,ref_ch_vol_len_um,ref_ch_num_fragments,relationship,relative_ID,OF,num_spots_inside_ref_ch,spots_ch_norm_val,ref_ch_norm_val,spotsize_tot_fluoresc,spots_INref_tot_fluoresc,creation_datetime,ratio_num_spots_bud_moth,strain,genotype,mtnet_skeleton_length_voxels
2022-11-11,Position_11,8,173.0,S,0.0,YFT006-11,2022/12/02 12:01:38.040,0.0,5487.0,24.815300437500003,0.1474278544542032,226185.04329315264,68.79244565423339,0.0624453470293164,S,2.0,28.0,21094.0,33.38962668125,0.0,6.0,mother,12.0,0.0,46.0,0.1135342661469922,0.177352539439071,361.4974411252354,1681.250980392157,2022/12/02 12:02:01.700,0.12,YFT006,WT,408.0
2022-11-11,Position_11,10,181.0,S,0.0,YFT006-11,2022/12/02 12:01:38.040,0.0,5320.0,24.0600325,0.1973891514742291,233937.56099049,71.15031443553183,0.0862580863163262,S,2.0,32.0,24197.0,38.30135568437501,0.0,4.0,mother,9.0,0.0,52.0,0.1004699662238608,0.174287370713114,367.9662311639984,1660.274509803921,2022/12/02 12:02:01.700,0.1428571428571428,YFT006,WT,571.0
2022-11-11,Position_12,1,90.0,S,0.0,YFT006-12,2022/12/02 12:02:02.505,0.0,7268.0,32.86998425,0.6582249600730093,295599.25797957164,89.90424651392941,0.5326497363193754,S,2.0,34.0,23493.0,37.186996284375,0.0,2.0,mother,2.0,0.0,60.0,0.10573873572493,0.1821271378195311,313.15676255903827,1680.7803921568625,2022/12/02 12:02:30.132,0.3076923076923077,YFT006,WT,623.0
2022-11-11,Position_12,3,26.0,G1,0.0,YFT006-12,2022/12/02 12:02:02.505,0.0,4850.0,21.934428125000004,0.0,238227.10360780644,72.45494591375386,0.0,G1,2.0,25.0,14885.0,23.561419984375,0.0,3.0,mother,-1.0,0.0,43.0,0.1188037932501967,0.1655098675797918,186.02533565433208,1108.1803921568626,2022/12/02 12:02:30.132,,YFT006,WT,564.0
2022-11-11,Position_12,5,152.0,S,0.0,YFT006-12,2022/12/02 12:02:02.505,0.0,7980.0,36.09004875,0.5048085989062795,359362.7221560369,109.2974149578746,0.3539712887038456,S,2.0,25.0,31887.0,50.473832653125,0.0,3.0,mother,4.0,0.0,52.0,0.0991007157832648,0.2007148700518235,355.75815675491094,2318.172549019608,2022/12/02 12:02:30.132,0.5625,YFT006,WT,584.0
2022-11-11,Position_12,7,170.0,S,0.0,YFT006-12,2022/12/02 12:02:02.505,0.0,5440.0,24.602740000000004,0.3438735177865613,204434.1876325983,62.17708977492154,0.1996674640171151,S,2.0,22.0,19495.0,30.858574578125,0.0,3.0,mother,6.0,0.0,42.0,0.1111514333750894,0.1852071428499428,317.9241993393652,1432.3568627450982,2022/12/02 12:02:30.132,0.2941176470588235,YFT006,WT,393.0
2022-11-11,Position_13,2,103.0,S,0.0,YFT006-13,2022/12/02 12:02:30.901,0.0,7775.0,35.162923437500005,0.6942689039006319,326781.6238475877,99.38812386547336,0.5950345687844537,S,2.0,37.0,30171.0,47.757581615625,0.0,4.0,mother,1.0,0.0,68.0,0.0975361508228028,0.1656268645004213,455.38039215686274,1882.7215686274512,2022/12/02 12:02:55.365,0.4230769230769231,YFT006,WT,639.0
2022-11-11,Position_13,3,126.0,S,0.0,YFT006-13,2022/12/02 12:02:30.901,0.0,7514.0,33.98253462500001,0.7073392410815724,305290.70715573174,92.85182642927188,0.5324209701321725,S,2.0,37.0,25224.0,39.926990775,0.0,6.0,mother,4.0,0.0,60.0,0.0810129941252756,0.1642180559269945,376.60849221671657,1201.4313725490197,2022/12/02 12:02:55.365,0.5416666666666666,YFT006,WT,725.0
2022-11-11,Position_13,5,55.0,G1,0.0,YFT006-13,2022/12/02 12:02:30.901,0.0,4436.0,20.06208725,0.0,203415.77395210176,61.867347067140976,0.0,G1,2.0,27.0,17802.0,28.17873016875,0.0,3.0,mother,-1.0,0.0,45.0,0.1056052085966555,0.1598498897383615,379.2827067348678,1315.364705882353,2022/12/02 12:02:55.365,,YFT006,WT,594.0
2022-11-11,Position_14,4,140.0,S,0.0,YFT006-14,2022/12/02 12:02:56.172,0.0,7852.0,35.51116075,0.6947981869199223,340423.8537541754,103.53730343007943,0.4794033091112537,S,2.0,41.0,30214.0,47.82564618125001,0.0,5.0,mother,3.0,0.0,70.0,0.0892313115821543,0.1453669502072651,524.4405194691967,1882.5490196078435,2022/12/02 12:03:14.603,0.5185185185185185,YFT006,WT,840.0
