exp_folder,Position_n,Cell_ID,category,mKate_stain_index,mNeon_inside_cell_stain_index
2022-08-24,Position_1,3,Neg. control,0.6456427724287721,1.550600339143897
2022-08-24,Position_1,4,Neg. control,0.6594210557903845,1.4469060658079784
2022-08-24,Position_2,7,Neg. control,0.6294172842264769,1.3914914554142614
2022-08-24,Position_3,1,Neg. control,0.7133858406571468,1.9227778408949252
2022-08-24,Position_3,2,Neg. control,0.6320175245391241,1.5299719303049446
2022-08-24,Position_3,3,Neg. control,0.6189613669713137,1.6396340919094792
2022-08-24,Position_3,5,Neg. control,0.5831834021639736,1.6351553440964348
2022-08-24,Position_3,7,Neg. control,0.5959967439590972,1.4331693008480193
2022-08-24,Position_4,2,Neg. control,0.5939358235644838,1.754042590743606
2022-08-24,Position_4,3,Neg. control,0.5953646338696843,1.4979180533319372
2022-08-24,Position_4,5,Neg. control,0.616731044602752,1.5863877768585477
2022-08-24,Position_5,2,Neg. control,0.7271824144755626,1.543888459810666
2022-08-24,Position_5,3,Neg. control,0.7307388064407523,1.685588916037427
2022-08-24,Position_5,4,Neg. control,0.922333894262412,1.9212942237438488
2022-08-24,Position_5,5,Neg. control,0.761653925644373,1.7387763611587488
2022-08-24,Position_5,6,Neg. control,0.7584593544186561,1.5153616019048806
2022-08-24,Position_6,2,Neg. control,0.7243745254140543,1.7315231681243353
2022-08-24,Position_7,1,Neg. control,0.7549426068616029,1.645843479557694
2022-08-24,Position_7,2,Neg. control,0.7540704114225757,2.1926311355142194
2022-08-24,Position_7,3,Neg. control,0.737521031661869,1.675283587349625
2022-08-24,Position_7,4,Neg. control,0.7284898607366155,1.517384044823897
2022-08-24,Position_7,5,Neg. control,0.6948127239030638,1.2373926297407891
2022-08-24,Position_8,2,Neg. control,0.6136070820023605,1.6176154825215494
2022-08-24,Position_8,3,Neg. control,0.7610284860080317,1.571585456902329
2022-08-24,Position_8,5,Neg. control,0.6329455905722619,1.5848490288593151
2022-08-24,Position_9,3,Neg. control,0.6008548211005679,2.3782390417153936
2022-08-24,Position_10,2,Neg. control,0.7090022169779262,1.5701390526112928
2022-08-24,Position_11,3,Neg. control,0.7114223493955089,1.3824072199157285
2022-08-24,Position_11,4,Neg. control,0.7375098276702946,1.292475364701105
2022-08-24,Position_12,3,Neg. control,0.6133888754879726,1.4815866286007635
2022-08-24,Position_13,2,Neg. control,0.7392779948625112,1.7255592413601244
2022-08-24,Position_14,2,Neg. control,1.005999165943815,1.6664193566508754
2022-08-24,Position_15,1,Neg. control,0.7859324443144945,1.7352737967653349
2022-08-24,Position_15,4,Neg. control,0.7406285550804621,1.6509291029998414
2022-08-24,Position_16,4,Neg. control,0.6089815413411039,1.861372912427689
2022-08-24,Position_17,1,Neg. control,0.6265087857696723,1.474408146781481
2022-08-24,Position_18,2,Neg. control,0.6102200600669407,1.3386997771281557
2022-08-24,Position_19,1,Neg. control,0.7430171296165937,1.4039419430205564
2022-08-24,Position_19,2,Neg. control,0.7658817711580042,1.4777099467038513
2022-08-24,Position_19,3,Neg. control,0.603304902844908,1.4995687493414036
2022-08-24,Position_19,4,Neg. control,0.6792881363779136,1.7824417150107108
2022-08-24,Position_19,5,Neg. control,0.6172494436018651,1.5089215856573572
2022-08-24,Position_20,2,Neg. control,0.6055537962225518,1.5608077553181934
2022-08-24,Position_20,3,Neg. control,0.5968602553257704,1.535127290836156
2022-08-24,Position_20,4,Neg. control,0.5883136127234044,1.2207896895736488
2022-08-24,Position_20,5,Neg. control,0.6464767996690438,1.1567510669648426
2022-08-24,Position_21,4,Neg. control,0.6197951170427894,1.4773888230550516
2022-08-24,Position_21,5,Neg. control,0.5907719205214012,1.28941534690219
2022-08-24,Position_21,6,Neg. control,0.6134063329749952,1.50392704417648
2022-08-24,Position_22,2,Neg. control,0.6585878105516901,1.4788349796789308
2022-08-24,Position_22,3,Neg. control,0.6285637732489278,1.6742035073544563
2022-08-24,Position_22,4,Neg. control,0.5940026317275708,1.5468289826891508
2022-08-24,Position_22,5,Neg. control,0.5642125554862395,1.5632190431402706
2022-08-24,Position_22,6,Neg. control,0.7330848342606572,1.5533500851885875
2022-08-24,Position_23,3,Neg. control,0.5659110509712012,1.3973849988176108
2022-08-24,Position_24,2,Neg. control,0.5882564336249454,1.681618542870825
2022-08-24,Position_24,5,Neg. control,0.6953171946941937,2.174168658258464
2022-08-24,Position_25,1,Neg. control,0.9521894455776356,2.662557433115459
2022-08-24,Position_25,2,Neg. control,0.9938614431465488,2.1049611391410505
2022-08-24,Position_26,1,Neg. control,0.5955130793437385,1.4773184050696455
2022-08-24,Position_26,2,Neg. control,0.6310038625385596,1.528277793969989
2022-08-24,Position_26,3,Neg. control,0.6121648559696555,1.5080870820279406
2022-08-24,Position_26,4,Neg. control,0.683908011739094,1.7032655017183287
2022-08-24,Position_26,6,Neg. control,0.6495102446658522,1.5239011565337333
2022-08-24,Position_27,3,Neg. control,0.5934719634448802,1.357941385982157
2022-08-24,Position_27,5,Neg. control,0.7794782161223207,1.202190623555223
2022-08-24,Position_28,1,Neg. control,0.6702824113260619,1.660680805288257
2022-08-24,Position_28,2,Neg. control,0.6254609100538452,1.7391109387682906
2022-08-24,Position_28,3,Neg. control,0.7181430686206074,1.702396937583955
2022-08-24,Position_28,5,Neg. control,0.5988139969974194,1.6649512165102387
2022-08-24,Position_29,1,Neg. control,0.7218441979827251,1.429372613253764
