strain,exp_folder,Position_n,run_number,Cell_ID,mKate_stain_index,mNeon_inside_cell_stain_index,mNeon_inside_mtNet_stain_index
yCO381,2022-08-24,Position_17,2,3,0.6074637420816056,,
yCO381,2022-08-24,Position_18,2,1,0.6428174179671543,,
yCO381,2022-08-24,Position_18,2,2,0.6102200600669407,1.3386997771281555,0.3045633503231892
yCO381,2022-08-24,Position_19,2,1,0.7430171296165937,1.4039419430205564,0.21657544575178572
yCO381,2022-08-24,Position_19,2,2,0.7658817711580042,1.4777099467038513,0.5240338201041623
yCO381,2022-08-24,Position_19,2,3,0.603304902844908,1.4995687493414036,0.4109678055825786
yCO381,2022-08-24,Position_19,2,4,0.6792881363779136,1.7824417150107108,0.5857661337031196
yCO381,2022-08-24,Position_19,2,5,0.6172494436018651,1.5089215856573572,0.5167023271117477
yCO381,2022-08-24,Position_20,2,2,0.6055537962225518,1.5608077553181934,0.39677963161174273
yCO381,2022-08-24,Position_20,2,3,0.5968602553257704,1.535127290836156,0.41353217683120075
yCO381,2022-08-24,Position_20,2,4,0.5883136127234044,1.2207896895736488,0.3074828581041944
yCO381,2022-08-24,Position_20,2,5,0.6464767996690438,1.1567510669648426,0.20799365348329335
yCO381,2022-08-24,Position_21,2,4,0.6197951170427894,1.4773888230550516,0.4215391651749981
yCO381,2022-08-24,Position_21,2,5,0.5907719205214012,1.28941534690219,0.3335978621654694
yCO381,2022-08-24,Position_21,2,6,0.6134063329749952,1.50392704417648,0.5226588541977779
yCO381,2022-08-24,Position_22,2,1,0.585811779912344,,
yCO381,2022-08-24,Position_22,2,2,0.6585878105516901,1.4788349796789308,0.41277903970737573
yCO381,2022-08-24,Position_22,2,3,0.6285637732489278,1.6742035073544563,0.6202273576307891
yCO381,2022-08-24,Position_22,2,4,0.5940026317275708,1.5468289826891508,0.5387842609338291
yCO381,2022-08-24,Position_22,2,5,0.5642125554862395,1.5632190431402706,0.5424774606068786
yCO381,2022-08-24,Position_22,2,6,0.7330848342606572,1.5533500851885877,0.5411856733435692
yCO381,2022-08-24,Position_23,2,1,0.6984833087364044,,
yCO381,2022-08-24,Position_23,2,2,0.6294737292909623,,
yCO381,2022-08-24,Position_23,2,3,0.5659110509712012,1.3973849988176108,0.418176033955332
yCO381,2022-08-24,Position_23,2,4,0.4703946794056997,,
yCO381,2022-08-24,Position_24,2,2,0.5882564336249454,1.681618542870825,0.6095974808108288
yCO381,2022-08-24,Position_24,2,3,0.6213878465407557,,
yCO381,2022-08-24,Position_24,2,4,0.70352591108302,,
yCO381,2022-08-24,Position_24,2,5,0.6953171946941937,2.174168658258464,0.8471316889176876
yCO381,2022-08-24,Position_25,2,1,0.9521894455776355,2.662557433115459,1.0961092642224664
yCO381,2022-08-24,Position_25,2,2,0.9938614431465487,2.1049611391410505,0.7686688179825719
yCO381,2022-08-24,Position_25,2,3,0.7481464568942615,,
yCO381,2022-08-24,Position_26,2,1,0.5955130793437385,1.4773184050696457,0.37559827125650913
yCO381,2022-08-24,Position_26,2,2,0.6310038625385596,1.528277793969989,0.4104515702174672
yCO381,2022-08-24,Position_26,2,3,0.6121648559696555,1.5080870820279406,0.4021483387914734
yCO381,2022-08-24,Position_26,2,4,0.683908011739094,1.7032655017183287,0.551204513242984
yCO381,2022-08-24,Position_26,2,5,0.6830216683193959,,
yCO381,2022-08-24,Position_26,2,6,0.6495102446658522,1.5239011565337333,0.5276606768090145
yCO381,2022-08-24,Position_26,2,7,0.6371376055023258,,
yCO381,2022-08-24,Position_27,2,2,0.6428335333395089,,
yCO381,2022-08-24,Position_27,2,3,0.5934719634448802,1.357941385982157,0.40933276444717775
yCO381,2022-08-24,Position_27,2,4,0.7395534622586565,,
yCO381,2022-08-24,Position_27,2,5,0.7794782161223207,1.2021906235552233,0.21183651406392107
yCO381,2022-08-24,Position_28,2,1,0.6702824113260619,1.660680805288257,0.5415423170219545
yCO381,2022-08-24,Position_28,2,2,0.6254609100538452,1.7391109387682906,0.7409609103287519
yCO381,2022-08-24,Position_28,2,3,0.7181430686206074,1.702396937583955,0.5169090380040176
yCO381,2022-08-24,Position_28,2,4,0.6178346512371558,,
yCO381,2022-08-24,Position_28,2,5,0.5988139969974194,1.6649512165102387,0.5052820336184428
yCO381,2022-08-24,Position_28,2,6,0.7508610261990363,,
yCO381,2022-08-24,Position_29,2,1,0.7218441979827251,1.429372613253764,0.40162198709454466
yCO381,2022-08-24,Position_29,2,2,0.7833229305500534,1.2766286411931684,0.19584055633499775
yCO381,2022-08-24,Position_29,2,3,0.614293974033069,1.368328961244536,0.42543241606629384
yCO381,2022-08-24,Position_30,2,1,0.7474812473700441,,
yCO381,2022-08-24,Position_30,2,2,0.845689585128976,,
yCO381,2022-08-24,Position_30,2,3,0.6993828268477517,1.8818833970156084,0.6263197363020275
yCO381,2022-08-24,Position_30,2,4,0.6539956909053037,1.3071392640741464,0.3019832849653177
yCO381,2022-08-24,Position_32,2,2,0.6293034881163542,1.7893575011530138,0.579392943596204
yCO381,2022-08-24,Position_32,2,3,0.6727009897661643,,
yCO381,2022-08-24,Position_32,2,4,0.6176265931846232,1.6189548651865502,0.5995676677876721
yCO381,2022-08-24,Position_32,2,5,0.6263233613332093,,
yCO381,2022-08-24,Position_33,2,1,0.7567561907127549,1.515057724901868,0.40636590292490526
yCO381,2022-08-24,Position_33,2,2,0.7500606875289728,1.367558751556171,0.37461232016152196
yCO381,2022-08-25,Position_1,2,1,0.0,,
yCO381,2022-08-25,Position_1,2,2,0.0,,
yCO381,2022-08-25,Position_1,2,3,0.18344363041460723,0.5103717428594498,0.0
yCO381,2022-08-25,Position_1,2,4,0.0,0.8258577339921989,0.3615042236714998
yCO381,2022-08-25,Position_1,2,5,0.0,,
yCO381,2022-08-25,Position_2,2,2,0.1860471120199583,0.994556160752604,0.3260733457943271
yCO381,2022-08-25,Position_2,2,3,0.0,0.5610518631224714,0.0
yCO381,2022-08-25,Position_2,2,4,0.16727395859031133,0.9791878719073364,0.31362139908168124
yCO381,2022-08-25,Position_3,2,1,0.0,0.5524505170521985,0.18737967648655712
yCO381,2022-08-25,Position_3,2,2,0.0,0.8050149219880821,0.17533551196001324
yCO381,2022-08-25,Position_3,2,3,0.2017994082349074,,
yCO381,2022-08-25,Position_3,2,4,0.0,,
yCO381,2022-08-25,Position_4,2,3,0.0,0.8465438996787367,0.18034616937674663
yCO381,2022-08-25,Position_4,2,4,0.0,,
yCO381,2022-08-25,Position_4,2,5,0.6397683720321848,0.7302545163083276,0.16780388413347327
yCO381,2022-08-25,Position_4,2,6,0.44525285829026534,,
yCO381,2022-08-25,Position_5,2,1,0.0,0.8696842259073503,0.3735173840000613
yCO381,2022-08-25,Position_5,2,2,0.0,0.5827389149273196,0.1919225520058368
yCO381,2022-08-25,Position_5,2,3,0.0,0.5666705585062516,0.0
yCO381,2022-08-25,Position_5,2,4,0.0,1.167489044658313,0.3570652548656115
yCO381,2022-08-25,Position_6,2,1,0.1781251005973422,,
yCO381,2022-08-25,Position_6,2,2,0.0,0.7659960918241797,0.16579404266928244
yCO381,2022-08-25,Position_6,2,3,0.0,,
yCO381,2022-08-25,Position_6,2,4,0.1814096193480399,,
yCO381,2022-08-25,Position_6,2,5,0.16970224632078473,0.7813415537589319,0.3739426436889875
yCO381,2022-08-25,Position_7,2,1,0.0,,
yCO381,2022-08-25,Position_7,2,3,0.0,,
yCO381,2022-08-25,Position_7,2,4,0.0,1.3972054857273106,0.5533003603610498
yCO381,2022-08-25,Position_7,2,5,0.16527246031595147,,
yCO381,2022-08-25,Position_8,2,1,0.0,,
yCO381,2022-08-25,Position_8,2,2,0.0,1.0581726006230507,0.3553031944212244
yCO381,2022-08-25,Position_8,2,3,0.0,1.067959438881967,0.3325989578460307
yCO381,2022-08-25,Position_8,2,4,0.0,,
yCO381,2022-08-25,Position_9,2,2,0.17775156292052172,0.7997638885538078,0.1757818360182539
yCO381,2022-08-25,Position_9,2,3,0.18363753687002943,1.0428351892781247,0.3263316183210457
yCO381,2022-08-25,Position_9,2,4,0.18037596650120055,0.9914929754990398,0.33242451609084206
yCO381,2022-08-25,Position_9,2,5,0.40122620490594035,,
yCO381,2022-08-25,Position_9,2,6,0.16932257559476144,,
yCO381,2022-08-25,Position_10,2,1,0.0,,
yCO381,2022-08-25,Position_10,2,3,0.0,0.5394208926797517,0.0
yCO381,2022-08-25,Position_10,2,4,0.0,,
yCO381,2022-08-25,Position_10,2,5,0.17959866581040798,,
yCO381,2022-08-25,Position_10,2,7,0.0,,
yCO381,2022-08-25,Position_11,2,1,0.0,0.7365556830697856,0.1627798851343112
yCO381,2022-08-25,Position_11,2,2,0.0,1.635531142448789,0.665003910274005
yCO381,2022-08-25,Position_11,2,3,0.0,0.5372523965302235,0.0
yCO381,2022-08-25,Position_12,2,1,0.17324108411086406,,
yCO381,2022-08-25,Position_12,2,2,0.17863892392676237,0.767823199853134,0.17194421499224624
yCO381,2022-08-25,Position_12,2,3,0.0,,
yCO381,2022-08-25,Position_12,2,4,0.0,,
yCO381,2022-08-25,Position_13,2,2,0.3550237830798176,0.7711982795752718,0.16653281693925953
yCO381,2022-08-25,Position_13,2,3,0.1838441822256724,0.6352349694336201,0.0
yCO381,2022-08-25,Position_13,2,4,0.0,0.8114847502483508,0.1715445644465321
yCO381,2022-08-25,Position_14,2,1,0.1762974274563698,,
yCO381,2022-08-25,Position_14,2,2,0.3735750149483602,,
yCO381,2022-08-25,Position_14,2,3,0.3363545471787409,,
yCO381,2022-08-25,Position_14,2,4,0.18027425023230903,0.7741439878378397,0.16913516396257888
yCO381,2022-08-25,Position_14,2,5,0.19940997395551122,,
yCO381,2022-08-25,Position_15,2,1,0.0,0.8012357287285139,0.16805412201153228
yCO381,2022-08-25,Position_15,2,2,0.0,0.7427236890616887,0.15984920248913634
yCO381,2022-08-25,Position_15,2,3,0.36528946003090734,1.0714054773657629,0.32719070777934356
yCO381,2022-08-25,Position_17,2,1,0.18713693124354344,,
yCO381,2022-08-25,Position_17,2,2,0.0,,
yCO381,2022-08-25,Position_17,2,3,0.0,1.0918363396610449,0.36559295816628196
yCO381,2022-08-25,Position_17,2,4,0.19478250263415256,,
yCO381,2022-08-25,Position_17,2,5,0.36172856699126255,,
yCO381,2022-08-25,Position_18,2,2,0.0,,
yCO381,2022-08-25,Position_18,2,3,0.17989177697122857,0.7977728397672893,0.18124954625715323
yCO381,2022-08-25,Position_18,2,4,0.0,,
yCO381,2022-08-25,Position_18,2,5,0.17947586046531663,0.8164182800850861,0.17406964921334916
yCO381,2022-08-25,Position_20,2,1,0.0,,
yCO381,2022-08-25,Position_20,2,2,0.1837504233616119,0.9548874241313076,0.3097007525794682
yCO381,2022-08-25,Position_20,2,3,0.0,1.241980000597372,0.4958908684240381
yCO381,2022-08-25,Position_21,2,4,0.35837621130551744,,
yCO381,2022-08-25,Position_21,2,6,0.18389500071409964,,
yCO381,2022-08-25,Position_21,2,7,0.0,0.5255519194762313,0.0
yCO381,2022-08-25,Position_21,2,8,0.0,,
yCO381,2022-08-25,Position_21,2,9,0.33675055637462464,,
yCO381,2022-08-25,Position_21,2,10,0.5071599039983821,,
yCO381,2022-08-25,Position_22,2,3,0.0,,
yCO381,2022-08-25,Position_22,2,4,0.0,,
yCO381,2022-08-25,Position_22,2,5,0.0,1.106650187560386,0.3556475940767113
yCO381,2022-08-25,Position_22,2,6,0.3415280528895278,,
yCO381,2022-08-25,Position_22,2,7,0.17409058433153593,,
yCO381,2022-08-25,Position_22,2,8,0.3020459018117784,0.7403933687799943,0.17292844082290978
yCO381,2022-08-25,Position_23,2,1,0.5493828594940418,,
yCO381,2022-08-25,Position_23,2,2,0.5093661873227276,0.8013773936913337,0.17596389455459116
yCO381,2022-08-25,Position_23,2,3,0.5060121858669528,,
yCO381,2022-08-25,Position_23,2,4,0.4948838961401061,,
yCO381,2022-08-25,Position_24,2,1,0.18421441001367503,0.7794934463560089,0.1696490061863729
yCO381,2022-08-25,Position_24,2,4,0.0,1.1001983121735621,0.2538676369563344
yCO381,2022-08-25,Position_26,2,1,0.3516039626087564,,
yCO381,2022-08-25,Position_26,2,2,0.17069511211823993,,
yCO381,2022-08-25,Position_26,2,4,0.3313049331150485,0.7454480598231996,0.16545725120095275
yCO381,2022-08-25,Position_26,2,5,0.17030563110538002,,
yCO381,2022-08-25,Position_26,2,6,0.3401061172596716,,
yCO381,2022-08-25,Position_26,2,7,0.17949078760832488,,
yCO381,2022-08-25,Position_26,2,8,0.7307743938307426,,
yCO381,2022-08-25,Position_27,2,1,0.3544030303834304,,
yCO381,2022-08-25,Position_27,2,2,0.3348339585444782,0.7336957693050025,0.16122391067531858
yCO381,2022-08-25,Position_28,2,1,0.0,1.442876313869654,0.5209462415957997
yCO381,2022-08-25,Position_28,2,2,0.0,,
yCO381,2022-08-25,Position_28,2,3,0.0,0.8595447754280187,0.1758760505975793
yCO381,2022-08-25,Position_29,2,1,0.0,,
yCO381,2022-08-25,Position_29,2,2,0.0,0.8220495866278469,0.17791287572210254
yCO381,2022-08-25,Position_29,2,3,0.0,0.7865875734403538,0.16585989935992432
yCO381,2022-08-25,Position_29,2,5,0.16803103203582712,0.5447800553848281,0.19478571406470868
yCO381,2022-08-25,Position_31,2,1,0.0,0.8676088031886535,0.3760052301121736
yCO381,2022-08-25,Position_31,2,2,0.0,1.100069403175935,0.3377492609034367
yCO381,2022-08-25,Position_33,2,2,0.0,0.808652793856483,0.17044769147124464
yCO381,2022-08-25,Position_33,2,3,0.0,0.8002815636634811,0.1707831280112788
yCO381,2022-09-01,Position_1,2,3,0.3607503871966176,,
yCO381,2022-09-01,Position_1,2,4,0.33878097708528226,0.2586118027701032,-0.17680702676803128
yCO381,2022-09-01,Position_1,2,5,0.4586011001230079,,
yCO381,2022-09-01,Position_2,2,1,0.7953356387072066,,
yCO381,2022-09-01,Position_2,2,2,0.3847105489141958,0.8200470779489106,0.16536560402619602
yCO381,2022-09-01,Position_2,2,3,0.17836910793270036,0.5864903980247789,0.18557220589798293
yCO381,2022-09-01,Position_2,2,4,0.6391835516061883,0.7853869603388708,0.17232677203185803
yCO381,2022-09-01,Position_4,2,1,0.0,0.6677763398901487,0.19699564734088035
yCO381,2022-09-01,Position_4,2,2,0.0,0.5949134295896412,0.18775296507920364
yCO381,2022-09-01,Position_5,2,2,0.0,,
yCO381,2022-09-01,Position_5,2,3,0.0,,
yCO381,2022-09-01,Position_5,2,4,0.0,,
yCO381,2022-09-01,Position_5,2,5,0.0,0.9104883648179584,0.3817650319723116
yCO381,2022-09-01,Position_6,2,2,0.0,0.8153738044399031,0.18235867454856966
yCO381,2022-09-01,Position_6,2,3,0.0,0.548349085754225,0.18229219547447045
yCO381,2022-09-01,Position_6,2,4,0.0,0.58174676034122,0.18650143310907924
yCO381,2022-09-01,Position_6,2,6,0.0,0.8383850332000818,0.38008812859278734
yCO381,2022-09-01,Position_7,2,1,0.0,,
yCO381,2022-09-01,Position_7,2,2,0.3530654816671833,0.880529572109525,0.18287234169012748
yCO381,2022-09-01,Position_7,2,3,0.0,0.7271456884083418,0.20524282142847425
yCO381,2022-09-01,Position_7,2,4,0.0,0.5511964545489798,0.0
yCO381,2022-09-01,Position_8,2,1,0.6644878979873221,0.842152408806912,0.17027163635971132
yCO381,2022-09-01,Position_8,2,2,0.0,0.5759557147589941,0.0
yCO381,2022-09-01,Position_9,2,1,0.0,1.1749581768757147,0.5980413640542516
yCO381,2022-09-01,Position_9,2,2,0.0,,
yCO381,2022-09-01,Position_9,2,4,0.0,,
yCO381,2022-09-01,Position_9,2,5,0.736562158541929,,
yCO381,2022-09-01,Position_11,2,1,0.3450708712075928,0.3222302465120715,0.0
yCO381,2022-09-01,Position_11,2,2,0.3467626003171007,,
yCO381,2022-09-01,Position_11,2,3,0.0,,
yCO381,2022-09-01,Position_11,2,4,0.17442072672295586,,
yCO381,2022-09-01,Position_11,2,5,0.0,0.9140584548709897,0.40503280243965456
yCO381,2022-09-01,Position_14,2,1,0.6338067244574342,,
yCO381,2022-09-01,Position_14,2,2,0.48018973975812906,,
yCO381,2022-09-01,Position_14,2,3,0.0,0.5675060493446631,0.19008994263757545
yCO381,2022-09-01,Position_14,2,4,0.0,,
yCO381,2022-09-01,Position_14,2,5,0.0,0.8758890006930877,0.3747134762421494
yCO381,2022-09-01,Position_14,2,6,0.0,,
yCO381,2022-09-01,Position_15,2,1,0.0,,
yCO381,2022-09-01,Position_15,2,2,0.35335870876572534,,
yCO381,2022-09-01,Position_15,2,3,0.0,0.5734447388803652,0.0
yCO381,2022-09-01,Position_15,2,4,0.17066458967905504,,
yCO381,2022-09-01,Position_16,2,1,0.21130758434931113,,
yCO381,2022-09-01,Position_16,2,2,0.0,0.806356538416196,0.17461433544515556
yCO381,2022-09-01,Position_16,2,3,0.0,,
yCO381,2022-09-01,Position_17,2,1,0.17652732957945827,0.8162011132027006,0.17342492945811055
yCO381,2022-09-01,Position_17,2,3,0.37643841271112627,,
yCO381,2022-09-01,Position_17,2,4,0.18170759157392113,0.8158040409378862,0.17694637225497656
yCO381,2022-09-01,Position_18,2,2,0.6954844623537573,,
yCO381,2022-09-01,Position_18,2,3,0.7032682780281152,,
yCO381,2022-09-01,Position_18,2,4,0.1769578878373148,0.5415226374615092,0.0
yCO381,2022-09-01,Position_18,2,5,0.18734287237174857,0.8263167394358236,0.17731997038456462
yCO381,2022-09-01,Position_18,2,6,0.5364672571391758,1.0826988069852177,0.326505033915807
yCO381,2022-09-01,Position_19,2,1,0.0,0.6040245508767715,0.18963815225843128
yCO381,2022-09-01,Position_19,2,2,0.17661425084277446,0.8712161757125877,0.17660015837140625
yCO381,2022-09-01,Position_19,2,3,0.0,0.9206992746633447,0.37633225965774875
yCO381,2022-09-01,Position_20,2,1,0.5303866329121097,0.5541184865098323,0.0
yCO381,2022-09-01,Position_20,2,2,0.6226929847547082,,
yCO381,2022-09-01,Position_20,2,3,0.4900963205701049,1.0785303829121051,0.3470250175157239
yCO381,2022-09-01,Position_20,2,4,0.1943389284439781,,
yCO381,2022-09-01,Position_20,2,5,0.0,,
