medium,ploidy,replicate,exp_folder,Position_n,Cell_ID,category,mKate_stain_index,mNeon_inside_cell_stain_index
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_22,1,SCD,2.723471480150298,2.4744360634160656
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_22,2,SCD,2.642570049567292,2.33830501976908
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_23,1,SCD,2.849540750353377,3.6035519779985794
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_23,2,SCD,3.041705185062293,3.371171082953131
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_24,2,SCD,2.873452675520064,2.546581374397181
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_24,3,SCD,2.776652811678857,1.701846213468564
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_25,1,SCD,3.0938700606638303,2.7977736791372
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_25,2,SCD,2.926738319157739,2.892032070657356
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_26,1,SCD,3.098201805498688,2.542700539877542
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_26,2,SCD,3.1236228318143837,3.2388974989645205
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_27,1,SCD,2.80782537545008,2.742127994541415
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_27,2,SCD,2.808902158092996,2.950470822566669
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_28,2,SCD,3.000600385102041,3.485210870202337
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_28,3,SCD,3.352717944027608,3.472667532868859
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_29,1,SCD,2.6403431391444734,2.7144063828255023
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_29,2,SCD,3.022591402929385,3.6114933655670254
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_30,2,SCD,3.420355630221637,2.721988637961719
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_30,3,SCD,3.867096438252813,1.763852029701923
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_31,1,SCD,3.34864717223904,3.684969860710088
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_31,2,SCD,3.1406555436082004,3.202934728346919
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_32,1,SCD,3.2762828828466395,2.9612474252002445
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_32,2,SCD,2.7876660432441698,2.3924634225038077
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_33,2,SCD,3.1793147240397994,3.121101127102107
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_33,3,SCD,3.159503879835973,3.426069411871437
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_34,2,SCD,2.9836904074148616,2.317708021903149
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_34,3,SCD,2.810559288356702,2.730139262615818
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_35,1,SCD,3.214723383862756,3.0434278797225978
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_35,2,SCD,3.004240882036057,3.2074717041301883
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_36,2,SCD,3.010648874617541,2.8817688227943066
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_36,3,SCD,3.584672177571134,2.5994757759882465
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_37,1,SCD,3.3621730726757924,2.818979412218046
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_37,2,SCD,4.058431674687329,3.3778662308862724
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_38,1,SCD,2.4991873553442834,2.5499962561677143
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_38,2,SCD,3.156766430848738,4.2949968035165895
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_39,1,SCD,2.694167617052671,2.51703731821684
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_39,2,SCD,3.02946504788213,2.878270764071005
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_40,1,SCD,2.6923280181862923,2.717207268023753
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_40,2,SCD,3.247610864214626,3.23807989201591
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_41,1,SCD,2.916092573776067,2.680313540635043
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_41,2,SCD,2.909942054485092,3.044156467365512
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_42,1,SCD,2.7337895096236724,2.813273985993547
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_42,2,SCD,2.8125245466489828,3.1311023220874525
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_43,1,SCD,3.38549466142396,3.1953636286711764
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_43,2,SCD,3.5228006644903163,3.719359295380777
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_44,1,SCD,2.967371266189794,2.033575680415085
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_44,2,SCD,2.817104420187212,2.3998620519134835
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_45,1,SCD,3.287450057016806,3.7506519317672224
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_45,2,SCD,2.8774115718275057,2.609974532870819
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_46,1,SCD,2.536279316889227,2.86886414549264
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_46,6,SCD,2.726550430048273,3.09442472959325
